"Enabled","啟用"
"Test Mode","測試模式"
"Test Order Prefix","測試訂單前置詞"
"New Order Status","新訂單狀態"
"Processing Order Status","處理中訂單狀態"
"Title","標題"
"Merchant ID","特店代碼"
"Hash Key","金鑰(Hash Key)"
"Hash IV","向量(Hash IV)"
"Paid","已付款。"
"Order No not found","無訂單可供處理"
"Redirect to pay page","導至繳費資訊頁面。"
"Transaction amount doesn't match","交易金額不匹配"
"Commodity Group","網路商品一批"
"ATM Payment Information", "付款方式: %s<br />付款時間: %s<br />銀行代碼: %s<br />虛擬帳號: %s<br />付款截止日: %s<br />"
"CVS Payment Information", "付款方式: %s<br />付款時間: %s<br />繳費代碼: %s<br />付款截止日: %s<br />條碼第一段號碼: %s<br />條碼第二段號碼: %s<br />條碼第三段號碼: %s<br />"
